lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl,inf,prs.ptcp,pst.ptcp.m.sg,pst.ptcp.m.pl,pst.ptcp.f.sg,pst.ptcp.f.pl
accroire,accroire,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,akʁwaʁ,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#
advenir,advenir,#DEF#,#DEF#,advjɛ̃,#DEF#,#DEF#,advjɛn,#DEF#,#DEF#,advənE,#DEF#,#DEF#,advənE,#DEF#,#DEF#,advjɛ̃dʁa,#DEF#,#DEF#,advjɛ̃dʁɔ̃,#DEF#,#DEF#,advjɛ̃dʁE,#DEF#,#DEF#,advjɛ̃dʁE,#DEF#,#DEF#,advjɛn,#DEF#,#DEF#,advjɛn,#DEF#,#DEF#,advɛ̃,#DEF#,#DEF#,advɛ̃ʁ,#DEF#,#DEF#,advɛ̃,#DEF#,#DEF#,advɛ̃s,#DEF#,#DEF#,#DEF#,advəniʁ,advənɑ̃,advəny,advəny,advəny,advəny
ardre,ardre,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,aʁdE,aʁdE,aʁdE,aʁdjɔ̃,aʁdje,aʁdE,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,aʁdʁ,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#
braire,braire,#DEF#,#DEF#,bʁE,#DEF#,#DEF#,bʁE,#DEF#,#DEF#,bʁEjE,#DEF#,#DEF#,bʁEjE,#DEF#,#DEF#,bʁEʁa,#DEF#,#DEF#,bʁEʁɔ̃,#DEF#,#DEF#,bʁEʁE,#DEF#,#DEF#,bʁEʁE,#DEF#,#DEF#,bʁɛ,#DEF#,#DEF#,bʁɛ,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,bʁɛʁ,bʁEjɑ̃,bʁɛ,bʁɛ,bʁɛt,bʁɛt
chaloir,chaloir,#DEF#,#DEF#,ʃo,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#
comparoir,comparoir,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,kɔ̃paʁwaʁ,kɔ̃paʁɑ̃,#DEF#,#DEF#,#DEF#,#DEF#
discontinuer,discontinuer,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,diskɔ̃tinɥe,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#
douer,douer,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,dwe,dwɑ̃,dwe,dwe,dwe,dwe
échoir,échoir,#DEF#,#DEF#,eʃwa,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,eʃwaʁ,#DEF#,eʃy,eʃy,eʃy,eʃy
endêver,endêver,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,ɑ̃dEve,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#
ester,ester,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,ɛste,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#
falloir,falloir,#DEF#,#DEF#,fo,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,falE,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,fOdʁa,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,fOdʁE,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,faj,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,faly,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,faly,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,falwaʁ,#DEF#,faly,faly,faly,faly
forfaire,forfaire,fɔʁfE,fɔʁfE,fɔʁfE,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,fɔʁfEʁ,#DEF#,fɔʁfE,fɔʁfE,fɔʁfEt,fɔʁfEt
gésir,gésir,ʒi,ʒi,ʒi,ʒizɔ̃,ʒize,ʒiz,ʒizE,ʒizE,ʒizE,ʒizjɔ̃,ʒizje,ʒizE,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,ʒEziʁ,ʒizɑ̃,#DEF#,#DEF#,#DEF#,#DEF#
quérir,quérir,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,kEʁiʁ,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#
reclure,reclure,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,ʁəklyʁ,#DEF#,ʁəkly,ʁəkly,ʁəklyz,ʁəklyz
seoir,seoir,#DEF#,#DEF#,sje,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,sEjE,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,sjEʁa,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,sjEʁE,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,sje,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,swaʁ,sEjɑ̃,si,si,siz,siz
surfaire,surfaire:syrfaire,syʁfE,syʁfE,syʁfE,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,syʁfɛʁ,syʁfəzɑ̃,#DEF#,#DEF#,#DEF#,#DEF#
urger,urger,#DEF#,#DEF#,yʁʒ,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,#DEF#,yʁʒe,yʁʒɑ̃,yʁʒe,yʁʒe,yʁʒe,yʁʒe
ahaner,ahaner,aan,aan,aan,aanɔ̃,aane,aan,aanE,aanE,aanE,aanjɔ̃,aanje,aanE,aanəʁE,aanəʁa,aanəʁa,aanəʁɔ̃,aanəʁe,aanəʁɔ̃,aanəʁE,aanəʁE,aanəʁE,aanəʁjɔ̃,aanəʁje,aanəʁE,aan,aan,aan,aanjɔ̃,aanje,aan,aanE,aana,aana,aanam,aanat,aanEʁ,aanas,aanas,aana,aanasjɔ̃,aanasje,aanas,aan,aanɔ̃,aane,aane,aanɑ̃,aane,aane,aane,aane
abâtardir,abâtardir,abataʁdi,abataʁdi,abataʁdi,abataʁdisɔ̃,abataʁdise,abataʁdis,abataʁdisE,abataʁdisE,abataʁdisE,abataʁdisjɔ̃,abataʁdisje,abataʁdisE,abataʁdiʁE,abataʁdiʁa,abataʁdiʁa,abataʁdiʁɔ̃,abataʁdiʁe,abataʁdiʁɔ̃,abataʁdiʁE,abataʁdiʁE,abataʁdiʁE,abataʁdiʁjɔ̃,abataʁdiʁje,abataʁdiʁE,abataʁdis,abataʁdis,abataʁdis,abataʁdisjɔ̃,abataʁdisje,abataʁdis,abataʁdi,abataʁdi,abataʁdi,abataʁdim,abataʁdit,abataʁdiʁ,abataʁdis,abataʁdis,abataʁdi,abataʁdisjɔ̃,abataʁdisje,abataʁdis,abataʁdi,abataʁdisɔ̃,abataʁdise,abataʁdiʁ,abataʁdisɑ̃,abataʁdi,abataʁdi,abataʁdi,abataʁdi
abattre,abattre,aba,aba,aba,abatɔ̃,abate,abat,abatE,abatE,abatE,abatjɔ̃,abatje,abatE,abatʁE,abatʁa,abatʁa,abatʁɔ̃,abatʁe,abatʁɔ̃,abatʁE,abatʁE,abatʁE,abatʁijɔ̃,abatʁije,abatʁE,abat,abat,abat,abatjɔ̃,abatje,abat,abati,abati,abati,abatim,abatit,abatiʁ,abatis,abatis,abati,abatisjɔ̃,abatisje,abatis,aba,abatɔ̃,abate,abatʁ,abatɑ̃,abaty,abaty,abaty,abaty
abasourdir,abasourdir,abazuʁdi,abazuʁdi,abazuʁdi,abazuʁdisɔ̃,abazuʁdise,abazuʁdis,abazuʁdisE,abazuʁdisE,abazuʁdisE,abazuʁdisjɔ̃,abazuʁdisje,abazuʁdisE,abazuʁdiʁE,abazuʁdiʁa,abazuʁdiʁa,abazuʁdiʁɔ̃,abazuʁdiʁe,abazuʁdiʁɔ̃,abazuʁdiʁE,abazuʁdiʁE,abazuʁdiʁE,abazuʁdiʁjɔ̃,abazuʁdiʁje,abazuʁdiʁE,abazuʁdis,abazuʁdis,abazuʁdis,abazuʁdisjɔ̃,abazuʁdisje,abazuʁdis,abazuʁdi,abazuʁdi,abazuʁdi,abazuʁdim,abazuʁdit,abazuʁdiʁ,abazuʁdis,abazuʁdis,abazuʁdi,abazuʁdisjɔ̃,abazuʁdisje,abazuʁdis,abazuʁdi,abazuʁdisɔ̃,abazuʁdise,abazuʁdiʁ,abazuʁdisɑ̃,abazuʁdi,abazuʁdi,abazuʁdi,abazuʁdi
abandonner,abandonner,abɑ̃dɔn,abɑ̃dɔn,abɑ̃dɔn,abɑ̃dOnɔ̃,abɑ̃dOne,abɑ̃dɔn,abɑ̃dOnE,abɑ̃dOnE,abɑ̃dOnE,abɑ̃dOnjɔ̃,abɑ̃dOnje,abɑ̃dOnE,abɑ̃dɔnəʁE,abɑ̃dɔnəʁa,abɑ̃dɔnəʁa,abɑ̃dɔnəʁɔ̃,abɑ̃dɔnəʁe,abɑ̃dɔnəʁɔ̃,abɑ̃dɔnəʁE,abɑ̃dɔnəʁE,abɑ̃dɔnəʁE,abɑ̃dɔnəʁjɔ̃,abɑ̃dɔnəʁje,abɑ̃dɔnəʁE,abɑ̃dɔn,abɑ̃dɔn,abɑ̃dɔn,abɑ̃dOnjɔ̃,abɑ̃dOnje,abɑ̃dɔn,abɑ̃dOnE,abɑ̃dOna,abɑ̃dOna,abɑ̃dOnam,abɑ̃dOnat,abɑ̃dOnEʁ,abɑ̃dOnas,abɑ̃dOnas,abɑ̃dOna,abɑ̃dOnasjɔ̃,abɑ̃dOnasje,abɑ̃dOnas,abɑ̃dɔn,abɑ̃dOnɔ̃,abɑ̃dOne,abɑ̃dOne,abɑ̃dOnɑ̃,abɑ̃dOne,abɑ̃dOne,abɑ̃dOne,abɑ̃dOne
abdiquer,abdiquer,abdik,abdik,abdik,abdikɔ̃,abdike,abdik,abdikE,abdikE,abdikE,abdikjɔ̃,abdikje,abdikE,abdikəʁE,abdikəʁa,abdikəʁa,abdikəʁɔ̃,abdikəʁe,abdikəʁɔ̃,abdikəʁE,abdikəʁE,abdikəʁE,abdikəʁjɔ̃,abdikəʁje,abdikəʁE,abdik,abdik,abdik,abdikjɔ̃,abdikje,abdik,abdikE,abdika,abdika,abdikam,abdikat,abdikEʁ,abdikas,abdikas,abdika,abdikasjɔ̃,abdikasje,abdikas,abdik,abdikɔ̃,abdike,abdike,abdikɑ̃,abdike,abdike,abdike,abdike
abêtir,abêtir,abEti,abEti,abEti,abEtisɔ̃,abEtise,abEtis,abEtisE,abEtisE,abEtisE,abEtisjɔ̃,abEtisje,abEtisE,abEtiʁE,abEtiʁa,abEtiʁa,abEtiʁɔ̃,abEtiʁe,abEtiʁɔ̃,abEtiʁE,abEtiʁE,abEtiʁE,abEtiʁjɔ̃,abEtiʁje,abEtiʁE,abEtis,abEtis,abEtis,abEtisjɔ̃,abEtisje,abEtis,abEti,abEti,abEti,abEtim,abEtit,abEtiʁ,abEtis,abEtis,abEti,abEtisjɔ̃,abEtisje,abEtis,abEti,abEtisɔ̃,abEtise,abEtiʁ,abEtisɑ̃,abEti,abEti,abEti,abEti
abaisser,abaisser,abɛs,abɛs,abɛs,abEsɔ̃,abEse,abɛs,abEsE,abEsE,abEsE,abEsjɔ̃,abEsje,abEsE,abɛsəʁE,abɛsəʁa,abɛsəʁa,abɛsəʁɔ̃,abɛsəʁe,abɛsəʁɔ̃,abɛsəʁE,abɛsəʁE,abɛsəʁE,abɛsəʁjɔ̃,abɛsəʁje,abɛsəʁE,abɛs,abɛs,abɛs,abEsjɔ̃,abEsje,abɛs,abEsE,abEsa,abEsa,abEsam,abEsat,abEsEʁ,abEsas,abEsas,abEsa,abEsasjɔ̃,abEsasje,abEsas,abɛs,abEsɔ̃,abEse,abEse,abEsɑ̃,abEse,abEse,abEse,abEse
habiller,habiller,abij,abij,abij,abijɔ̃,abije,abij,abijE,abijE,abijE,abijɔ̃,abije,abijE,abijəʁE,abijəʁa,abijəʁa,abijəʁɔ̃,abijəʁe,abijəʁɔ̃,abijəʁE,abijəʁE,abijəʁE,abijəʁjɔ̃,abijəʁje,abijəʁE,abij,abij,abij,abijɔ̃,abije,abij,abijE,abija,abija,abijam,abijat,abijEʁ,abijas,abijas,abija,abijasjɔ̃,abijasje,abijas,abij,abijɔ̃,abije,abije,abijɑ̃,abije,abije,abije,abije
abîmer,abîmer,abim,abim,abim,abimɔ̃,abime,abim,abimE,abimE,abimE,abimjɔ̃,abimje,abimE,abiməʁE,abiməʁa,abiməʁa,abiməʁɔ̃,abiməʁe,abiməʁɔ̃,abiməʁE,abiməʁE,abiməʁE,abiməʁjɔ̃,abiməʁje,abiməʁE,abim,abim,abim,abimjɔ̃,abimje,abim,abimE,abima,abima,abimam,abimat,abimEʁ,abimas,abimas,abima,abimasjɔ̃,abimasje,abimas,abim,abimɔ̃,abime,abime,abimɑ̃,abime,abime,abime,abime
habiter,habiter,abit,abit,abit,abitɔ̃,abite,abit,abitE,abitE,abitE,abitjɔ̃,abitje,abitE,abitəʁE,abitəʁa,abitəʁa,abitəʁɔ̃,abitəʁe,abitəʁɔ̃,abitəʁE,abitəʁE,abitəʁE,abitəʁjɔ̃,abitəʁje,abitəʁE,abit,abit,abit,abitjɔ̃,abitje,abit,abitE,abita,abita,abitam,abitat,abitEʁ,abitas,abitas,abita,abitasjɔ̃,abitasje,abitas,abit,abitɔ̃,abite,abite,abitɑ̃,abite,abite,abite,abite
habituer,habituer,abity,abity,abity,abitɥɔ̃,abitɥe,abity,abitɥE,abitɥE,abitɥE,abityjɔ̃,abityje,abitɥE,abityʁE,abityʁa,abityʁa,abityʁɔ̃,abityʁe,abityʁɔ̃,abityʁE,abityʁE,abityʁE,abityʁjɔ̃,abityʁje,abityʁE,abity,abity,abity,abityjɔ̃,abityje,abity,abitɥE,abitɥa,abitɥa,abitɥam,abitɥat,abitɥEʁ,abitɥas,abitɥas,abitɥa,abitɥasjɔ̃,abitɥasje,abitɥas,abity,abitɥɔ̃,abitɥe,abitɥe,abitɥɑ̃,abitɥe,abitɥe,abitɥe,abitɥe
abolir,abolir,abOli,abOli,abOli,abOlisɔ̃,abOlise,abOlis,abOlisE,abOlisE,abOlisE,abOlisjɔ̃,abOlisje,abOlisE,abOliʁE,abOliʁa,abOliʁa,abOliʁɔ̃,abOliʁe,abOliʁɔ̃,abOliʁE,abOliʁE,abOliʁE,abOliʁjɔ̃,abOliʁje,abOliʁE,abOlis,abOlis,abOlis,abOlisjɔ̃,abOlisje,abOlis,abOli,abOli,abOli,abOlim,abOlit,abOliʁ,abOlis,abOlis,abOli,abOlisjɔ̃,abOlisje,abOlis,abOli,abOlisɔ̃,abOlise,abOliʁ,abOlisɑ̃,abOli,abOli,abOli,abOli
abominer,abominer,abOmin,abOmin,abOmin,abOminɔ̃,abOmine,abOmin,abOminE,abOminE,abOminE,abOminjɔ̃,abOminje,abOminE,abOminəʁE,abOminəʁa,abOminəʁa,abOminəʁɔ̃,abOminəʁe,abOminəʁɔ̃,abOminəʁE,abOminəʁE,abOminəʁE,abOminəʁjɔ̃,abOminəʁje,abOminəʁE,abOmin,abOmin,abOmin,abOminjɔ̃,abOminje,abOmin,abOminE,abOmina,abOmina,abOminam,abOminat,abOminEʁ,abOminas,abOminas,abOmina,abOminasjɔ̃,abOminasje,abOminas,abOmin,abOminɔ̃,abOmine,abOmine,abOminɑ̃,abOmine,abOmine,abOmine,abOmine
abonnir,abonnir,abOni,abOni,abOni,abOnisɔ̃,abOnise,abOnis,abOnisE,abOnisE,abOnisE,abOnisjɔ̃,abOnisje,abOnisE,abOniʁE,abOniʁa,abOniʁa,abOniʁɔ̃,abOniʁe,abOniʁɔ̃,abOniʁE,abOniʁE,abOniʁE,abOniʁjɔ̃,abOniʁje,abOniʁE,abOnis,abOnis,abOnis,abOnisjɔ̃,abOnisje,abOnis,abOni,abOni,abOni,abOnim,abOnit,abOniʁ,abOnis,abOnis,abOni,abOnisjɔ̃,abOnisje,abOnis,abOni,abOnisɔ̃,abOnise,abOniʁ,abOnisɑ̃,abOni,abOni,abOni,abOni
abonder,abonder,abɔ̃d,abɔ̃d,abɔ̃d,abɔ̃dɔ̃,abɔ̃de,abɔ̃d,abɔ̃dE,abɔ̃dE,abɔ̃dE,abɔ̃djɔ̃,abɔ̃dje,abɔ̃dE,abɔ̃dəʁE,abɔ̃dəʁa,abɔ̃dəʁa,abɔ̃dəʁɔ̃,abɔ̃dəʁe,abɔ̃dəʁɔ̃,abɔ̃dəʁE,abɔ̃dəʁE,abɔ̃dəʁE,abɔ̃dəʁjɔ̃,abɔ̃dəʁje,abɔ̃dəʁE,abɔ̃d,abɔ̃d,abɔ̃d,abɔ̃djɔ̃,abɔ̃dje,abɔ̃d,abɔ̃dE,abɔ̃da,abɔ̃da,abɔ̃dam,abɔ̃dat,abɔ̃dEʁ,abɔ̃das,abɔ̃das,abɔ̃da,abɔ̃dasjɔ̃,abɔ̃dasje,abɔ̃das,abɔ̃d,abɔ̃dɔ̃,abɔ̃de,abɔ̃de,abɔ̃dɑ̃,abɔ̃de,abɔ̃de,abɔ̃de,abɔ̃de
abonner,abonner,abɔn,abɔn,abɔn,abOnɔ̃,abOne,abɔn,abOnE,abOnE,abOnE,abOnjɔ̃,abOnje,abOnE,abɔnəʁE,abɔnəʁa,abɔnəʁa,abɔnəʁɔ̃,abɔnəʁe,abɔnəʁɔ̃,abɔnəʁE,abɔnəʁE,abɔnəʁE,abɔnəʁjɔ̃,abɔnəʁje,abɔnəʁE,abɔn,abɔn,abɔn,abOnjɔ̃,abOnje,abɔn,abOnE,abOna,abOna,abOnam,abOnat,abOnEʁ,abOnas,abOnas,abOna,abOnasjɔ̃,abOnasje,abOnas,abɔn,abOnɔ̃,abOne,abOne,abOnɑ̃,abOne,abOne,abOne,abOne
aborder,aborder,abɔʁd,abɔʁd,abɔʁd,abɔʁdɔ̃,abɔʁde,abɔʁd,abɔʁdE,abɔʁdE,abɔʁdE,abɔʁdjɔ̃,abɔʁdje,abɔʁdE,abɔʁdəʁE,abɔʁdəʁa,abɔʁdəʁa,abɔʁdəʁɔ̃,abɔʁdəʁe,abɔʁdəʁɔ̃,abɔʁdəʁE,abɔʁdəʁE,abɔʁdəʁE,abɔʁdəʁjɔ̃,abɔʁdəʁje,abɔʁdəʁE,abɔʁd,abɔʁd,abɔʁd,abɔʁdjɔ̃,abɔʁdje,abɔʁd,abɔʁdE,abɔʁda,abɔʁda,abɔʁdam,abɔʁdat,abɔʁdEʁ,abɔʁdas,abɔʁdas,abɔʁda,abɔʁdasjɔ̃,abɔʁdasje,abɔʁdas,abɔʁd,abɔʁdɔ̃,abɔʁde,abɔʁde,abɔʁdɑ̃,abɔʁde,abɔʁde,abɔʁde,abɔʁde
abhorrer,abhorrer,abɔʁ,abɔʁ,abɔʁ,abOʁɔ̃,abOʁe,abɔʁ,abOʁE,abOʁE,abOʁE,abOʁjɔ̃,abOʁje,abOʁE,abɔʁəʁE,abɔʁəʁa,abɔʁəʁa,abɔʁəʁɔ̃,abɔʁəʁe,abɔʁəʁɔ̃,abɔʁəʁE,abɔʁəʁE,abɔʁəʁE,abɔʁəʁjɔ̃,abɔʁəʁje,abɔʁəʁE,abɔʁ,abɔʁ,abɔʁ,abOʁjɔ̃,abOʁje,abɔʁ,abOʁE,abOʁa,abOʁa,abOʁam,abOʁat,abOʁEʁ,abOʁas,abOʁas,abOʁa,abOʁasjɔ̃,abOʁasje,abOʁas,abɔʁ,abOʁɔ̃,abOʁe,abOʁe,abOʁɑ̃,abOʁe,abOʁe,abOʁe,abOʁe
