lexeme,variants,prs.1sg,prs.2sg,prs.3sg,prs.1pl,prs.2pl,prs.3pl,ipfv.1sg,ipfv.2sg,ipfv.3sg,ipfv.1pl,ipfv.2pl,ipfv.3pl,fut.1sg,fut.2sg,fut.3sg,fut.1pl,fut.2pl,fut.3pl,cond.1sg,cond.2sg,cond.3sg,cond.1pl,cond.2pl,cond.3pl,sbjv.1sg,sbjv.2sg,sbjv.3sg,sbjv.1pl,sbjv.2pl,sbjv.3pl,pst.1sg,pst.2sg,pst.3sg,pst.1pl,pst.2pl,pst.3pl,pst.sbjv.1sg,pst.sbjv.2sg,pst.sbjv.3sg,pst.sbjv.1pl,pst.sbjv.2pl,pst.sbjv.3pl,imp.2sg,imp.1pl,imp.2pl,inf,prs.ptcp,pst.ptcp.m.sg,pst.ptcp.m.pl,pst.ptcp.f.sg,pst.ptcp.f.pl
lister,lister,list,list,list,listɔ̃,liste,list,listE,listE,listE,listjɔ̃,listje,listE,listəʁE,listəʁa,listəʁa,listəʁɔ̃,listəʁe,listəʁɔ̃,listəʁE,listəʁE,listəʁE,listəʁjɔ̃,listəʁje,listəʁE,list,list,list,listjɔ̃,listje,list,listE,lista,lista,listam,listat,listEʁ,listas,listas,lista,listasjɔ̃,listasje,listas,list,listɔ̃,liste,liste,listɑ̃,liste,liste,liste,liste
licher,licher,liʃ,liʃ,liʃ,liʃɔ̃,liʃe,liʃ,liʃE,liʃE,liʃE,liʃjɔ̃,liʃje,liʃE,liʃəʁE,liʃəʁa,liʃəʁa,liʃəʁɔ̃,liʃəʁe,liʃəʁɔ̃,liʃəʁE,liʃəʁE,liʃəʁE,liʃəʁjɔ̃,liʃəʁje,liʃəʁE,liʃ,liʃ,liʃ,liʃjɔ̃,liʃje,liʃ,liʃE,liʃa,liʃa,liʃam,liʃat,liʃEʁ,liʃas,liʃas,liʃa,liʃasjɔ̃,liʃasje,liʃas,liʃ,liʃɔ̃,liʃe,liʃe,liʃɑ̃,liʃe,liʃe,liʃe,liʃe
lichotter,lichotter,liʃɔt,liʃɔt,liʃɔt,liʃOtɔ̃,liʃOte,liʃɔt,liʃOtE,liʃOtE,liʃOtE,liʃOtjɔ̃,liʃOtje,liʃOtE,liʃɔtəʁE,liʃɔtəʁa,liʃɔtəʁa,liʃɔtəʁɔ̃,liʃɔtəʁe,liʃɔtəʁɔ̃,liʃɔtəʁE,liʃɔtəʁE,liʃɔtəʁE,liʃɔtəʁjɔ̃,liʃɔtəʁje,liʃɔtəʁE,liʃɔt,liʃɔt,liʃɔt,liʃOtjɔ̃,liʃOtje,liʃɔt,liʃOtE,liʃOta,liʃOta,liʃOtam,liʃOtat,liʃOtEʁ,liʃOtas,liʃOtas,liʃOta,liʃOtasjɔ̃,liʃOtasje,liʃOtas,liʃɔt,liʃOtɔ̃,liʃOte,liʃOte,liʃOtɑ̃,liʃOte,liʃOte,liʃOte,liʃOte
liter,liter,lit,lit,lit,litɔ̃,lite,lit,litE,litE,litE,litjɔ̃,litje,litE,litəʁE,litəʁa,litəʁa,litəʁɔ̃,litəʁe,litəʁɔ̃,litəʁE,litəʁE,litəʁE,litəʁjɔ̃,litəʁje,litəʁE,lit,lit,lit,litjɔ̃,litje,lit,litE,lita,lita,litam,litat,litEʁ,litas,litas,lita,litasjɔ̃,litasje,litas,lit,litɔ̃,lite,lite,litɑ̃,lite,lite,lite,lite
litrer,litrer,litʁ,litʁ,litʁ,litʁɔ̃,litʁe,litʁ,litʁE,litʁE,litʁE,litʁijɔ̃,litʁije,litʁE,litʁəʁE,litʁəʁa,litʁəʁa,litʁəʁɔ̃,litʁəʁe,litʁəʁɔ̃,litʁəʁE,litʁəʁE,litʁəʁE,litʁəʁjɔ̃,litʁəʁje,litʁəʁE,litʁ,litʁ,litʁ,litʁijɔ̃,litʁije,litʁ,litʁE,litʁa,litʁa,litʁam,litʁat,litʁEʁ,litʁas,litʁas,litʁa,litʁasjɔ̃,litʁasje,litʁas,litʁ,litʁɔ̃,litʁe,litʁe,litʁɑ̃,litʁe,litʁe,litʁe,litʁe
livrer,livrer,livʁ,livʁ,livʁ,livʁɔ̃,livʁe,livʁ,livʁE,livʁE,livʁE,livʁijɔ̃,livʁije,livʁE,livʁəʁE,livʁəʁa,livʁəʁa,livʁəʁɔ̃,livʁəʁe,livʁəʁɔ̃,livʁəʁE,livʁəʁE,livʁəʁE,livʁəʁjɔ̃,livʁəʁje,livʁəʁE,livʁ,livʁ,livʁ,livʁijɔ̃,livʁije,livʁ,livʁE,livʁa,livʁa,livʁam,livʁat,livʁEʁ,livʁas,livʁas,livʁa,livʁasjɔ̃,livʁasje,livʁas,livʁ,livʁɔ̃,livʁe,livʁe,livʁɑ̃,livʁe,livʁe,livʁe,livʁe
lyophiliser,lyophiliser,ljOfiliz,ljOfiliz,ljOfiliz,ljOfilizɔ̃,ljOfilize,ljOfiliz,ljOfilizE,ljOfilizE,ljOfilizE,ljOfilizjɔ̃,ljOfilizje,ljOfilizE,ljOfilizəʁE,ljOfilizəʁa,ljOfilizəʁa,ljOfilizəʁɔ̃,ljOfilizəʁe,ljOfilizəʁɔ̃,ljOfilizəʁE,ljOfilizəʁE,ljOfilizəʁE,ljOfilizəʁjɔ̃,ljOfilizəʁje,ljOfilizəʁE,ljOfiliz,ljOfiliz,ljOfiliz,ljOfilizjɔ̃,ljOfilizje,ljOfiliz,ljOfilizE,ljOfiliza,ljOfiliza,ljOfilizam,ljOfilizat,ljOfilizEʁ,ljOfilizas,ljOfilizas,ljOfiliza,ljOfilizasjɔ̃,ljOfilizasje,ljOfilizas,ljOfiliz,ljOfilizɔ̃,ljOfilize,ljOfilize,ljOfilizɑ̃,ljOfilize,ljOfilize,ljOfilize,ljOfilize
lobotomiser,lobotomiser,lObOtOmiz,lObOtOmiz,lObOtOmiz,lObOtOmizɔ̃,lObOtOmize,lObOtOmiz,lObOtOmizE,lObOtOmizE,lObOtOmizE,lObOtOmizjɔ̃,lObOtOmizje,lObOtOmizE,lObOtOmizəʁE,lObOtOmizəʁa,lObOtOmizəʁa,lObOtOmizəʁɔ̃,lObOtOmizəʁe,lObOtOmizəʁɔ̃,lObOtOmizəʁE,lObOtOmizəʁE,lObOtOmizəʁE,lObOtOmizəʁjɔ̃,lObOtOmizəʁje,lObOtOmizəʁE,lObOtOmiz,lObOtOmiz,lObOtOmiz,lObOtOmizjɔ̃,lObOtOmizje,lObOtOmiz,lObOtOmizE,lObOtOmiza,lObOtOmiza,lObOtOmizam,lObOtOmizat,lObOtOmizEʁ,lObOtOmizas,lObOtOmizas,lObOtOmiza,lObOtOmizasjɔ̃,lObOtOmizasje,lObOtOmizas,lObOtOmiz,lObOtOmizɔ̃,lObOtOmize,lObOtOmize,lObOtOmizɑ̃,lObOtOmize,lObOtOmize,lObOtOmize,lObOtOmize
leurrer,leurrer,lœʁ,lœʁ,lœʁ,lØʁɔ̃,lØʁe,lœʁ,lØʁE,lØʁE,lØʁE,lØʁjɔ̃,lØʁje,lØʁE,lœʁəʁE,lœʁəʁa,lœʁəʁa,lœʁəʁɔ̃,lœʁəʁe,lœʁəʁɔ̃,lœʁəʁE,lœʁəʁE,lœʁəʁE,lœʁəʁjɔ̃,lœʁəʁje,lœʁəʁE,lœʁ,lœʁ,lœʁ,lØʁjɔ̃,lØʁje,lœʁ,lØʁE,lØʁa,lØʁa,lØʁam,lØʁat,lØʁEʁ,lØʁas,lØʁas,lØʁa,lØʁasjɔ̃,lØʁasje,lØʁas,lœʁ,lØʁɔ̃,lØʁe,lØʁe,lØʁɑ̃,lØʁe,lØʁe,lØʁe,lØʁe
luncher,luncher,lœ̃ʃ,lœ̃ʃ,lœ̃ʃ,lœ̃ʃɔ̃,lœ̃ʃe,lœ̃ʃ,lœ̃ʃE,lœ̃ʃE,lœ̃ʃE,lœ̃ʃjɔ̃,lœ̃ʃje,lœ̃ʃE,lœ̃ʃəʁE,lœ̃ʃəʁa,lœ̃ʃəʁa,lœ̃ʃəʁɔ̃,lœ̃ʃəʁe,lœ̃ʃəʁɔ̃,lœ̃ʃəʁE,lœ̃ʃəʁE,lœ̃ʃəʁE,lœ̃ʃəʁjɔ̃,lœ̃ʃəʁje,lœ̃ʃəʁE,lœ̃ʃ,lœ̃ʃ,lœ̃ʃ,lœ̃ʃjɔ̃,lœ̃ʃje,lœ̃ʃ,lœ̃ʃE,lœ̃ʃa,lœ̃ʃa,lœ̃ʃam,lœ̃ʃat,lœ̃ʃEʁ,lœ̃ʃas,lœ̃ʃas,lœ̃ʃa,lœ̃ʃasjɔ̃,lœ̃ʃasje,lœ̃ʃas,lœ̃ʃ,lœ̃ʃɔ̃,lœ̃ʃe,lœ̃ʃe,lœ̃ʃɑ̃,lœ̃ʃe,lœ̃ʃe,lœ̃ʃe,lœ̃ʃe
