Seg.,ALIAS,nasal,stress,low,round,ATR,front,Vback,Vhigh,diphthong,DIPHTHONG_J,DIPHTHONG_W
Seg.,ALIAS,nas,stress,low,rou,ATR,front,Vback,Vhigh,dipht,J,W
a,,0,0,1,0,0,1,0,0,0,,
ɐ,,0,0,1,0,0,0,0,0,0,,
aj,ꜽ,0,0,1,0,0,1,0,0,1,1,
aw,ꜷ,0,0,1,0,0,1,0,0,1,,1
ɐj,🄇,0,0,1,0,0,0,0,0,1,1,
